Title,City,Latitude,Longitude,Date,Severity,Type of threat,Attendees,Reported via,Reported incidents,Estimated cost,Confirmed %,Turnout rate,Priority,Police informed?,Notes
Online abuse in Birmingham #451,Birmingham,52.43561,-1.85473,2021-06-09,High,Online abuse,500-1000,Social media,77,7659,8.0,0.139,5,Yes,
Banner drop in Birmingham #452,Birmingham,52.45747,-1.81958,2013-09-03,Moderate,Banner drop,1-10,Press report,111,12229,69.4,0.590,4,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Vandalism in Coventry #453,Coventry,52.46192,-1.54097,2026-10-23,,Vandalism,1-10,Social media,87,14542,58.8,0.353,3,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Harassment in Newcastle #454,Newcastle,54.95873,-1.69201,2016-09-16,Low,Harassment,50-100,Local branch,46,15287,30.9,0.929,4,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Demonstration in Exeter #455,Exeter,50.69498,-3.51798,2015-03-11,High,Demonstration,10-50,Press report,23,18368,97.3,0.175,3,,Details unverified — cross-check with the regional organiser before publishing anywhere
Assault in Dundee #456,Dundee,56.50340,-2.95502,2005-09-21,,Assault,100-500,Anonymous tip,176,11479,16.0,0.972,2,,
Banner drop in Aberdeen #457,Aberdeen,57.07906,-2.08962,2014-03-14,Low,Banner drop,100-500,Social media,101,2972,89.1,0.299,2,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Demonstration in Glasgow #458,Glasgow,55.87993,-4.19162,2007-01-12,Critical,Demonstration,500-1000,Local branch,193,11867,84.9,0.132,4,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Leafleting in Exeter #459,Exeter,50.69413,-3.51173,2001-08-01,Moderate,Leafleting,1-10,Partner organisation,101,8483,98.7,0.097,1,,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Banner drop in Oxford #460,Oxford,51.69540,-1.27663,2021-08-14,Low,Banner drop,100-500,Partner organisation,86,13208,73.9,0.882,3,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Banner drop in Southampton #461,Southampton,50.89668,-1.38041,2011-10-13,Critical,Banner drop,50-100,Partner organisation,8,6795,3.6,0.139,2,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Vandalism in Cambridge #462,Cambridge,52.25234,0.18054,2011-05-05,Low,Vandalism,10-50,Local branch,77,1858,93.5,0.270,4,,Details unverified — cross-check with the regional organiser before publishing anywhere
Vandalism in Dundee #463,Dundee,56.47090,-2.96301,2012-11-13,Critical,Vandalism,10-50,Local branch,127,6348,24.4,0.182,1,Yes,
Stickering in Newcastle #464,Newcastle,54.95821,-1.61434,2001-03-18,Low,Stickering,N/A,Partner organisation,25,8927,89.0,0.215,3,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Banner drop in York #465,York,53.98715,-1.07299,2021-05-06,Critical,Banner drop,1-10,Press report,145,11020,7.7,0.126,4,No,
Banner drop in Oxford #466,Oxford,51.83385,-1.16636,2019-07-19,Low,Banner drop,1-10,Anonymous tip,1,4415,41.2,0.177,2,No,
Demonstration in Leicester #467,Leicester,52.65861,-1.17933,2003-08-28,Moderate,Demonstration,1-10,Press report,89,7920,97.0,0.420,3,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Demonstration in Southampton #468,Southampton,50.94229,-1.37275,2001-11-17,Critical,Demonstration,10-50,Local branch,46,12680,69.9,0.164,5,Yes,
Leafleting in Sheffield #469,Sheffield,53.37349,-1.48183,2009-06-11,Moderate,Leafleting,100-500,Anonymous tip,165,9172,99.7,0.544,2,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Demonstration in London #470,London,51.59891,-0.08981,2010-04-04,Moderate,Demonstration,500-1000,Anonymous tip,50,1099,2.9,0.040,3,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Harassment in Birmingham #471,Birmingham,52.51089,-1.85272,2005-10-06,Moderate,Harassment,1-10,Social media,128,16429,79.5,0.008,2,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Online abuse in Stoke-on-Trent #472,Stoke-on-Trent,52.96594,-2.17160,2011-01-20,Low,Online abuse,100-500,Social media,71,12995,9.0,0.109,4,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Stickering in London #473,London,51.50544,-0.10311,2024-05-28,Low,Stickering,50-100,Local branch,198,7799,90.7,0.991,2,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Banner drop in Bradford #474,Bradford,53.79305,-1.73551,2009-01-23,Critical,Banner drop,10-50,Partner organisation,191,19293,96.3,0.698,1,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Online abuse in Oxford #475,Oxford,51.69147,-1.33653,2009-04-11,Low,Online abuse,100-500,Social media,112,16198,46.6,0.396,5,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Banner drop in Swansea #476,Swansea,51.64715,-4.00666,2011-10-09,,Banner drop,100-500,Local branch,162,13592,77.4,0.101,1,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Vandalism in Leicester #477,Leicester,52.62057,-1.06978,2007-01-27,Critical,Vandalism,100-500,Press report,167,10766,31.1,0.497,1,No,Linked to a wider pattern of activity across the region according to partner organisations
Online abuse in Bradford #478,Bradford,53.84984,-1.85163,2025-07-16,Moderate,Online abuse,1-10,Anonymous tip,131,14513,57.8,0.268,1,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Vandalism in Leeds #479,Leeds,53.88885,-1.57050,2018-07-13,High,Vandalism,50-100,Press report,19,13433,6.9,0.610,1,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Leafleting in Belfast #480,Belfast,54.68975,-5.90470,2014-11-28,Critical,Leafleting,100-500,Social media,115,18791,65.2,0.576,5,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Banner drop in Glasgow #481,Glasgow,55.90505,-4.28813,2026-02-15,Critical,Banner drop,10-50,Anonymous tip,26,16178,3.4,0.217,2,,Linked to a wider pattern of activity across the region according to partner organisations
Harassment in Swansea #482,Swansea,51.60773,-3.94361,2004-09-25,High,Harassment,500-1000,Social media,195,5008,50.2,0.187,2,,
Vandalism in Coventry #483,Coventry,52.29422,-1.48891,2022-12-12,,Vandalism,100-500,Anonymous tip,198,13251,9.3,0.312,5,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Assault in Exeter #484,Exeter,50.72426,-3.47245,2011-12-19,Critical,Assault,100-500,Local branch,132,13574,36.1,0.445,3,,Linked to a wider pattern of activity across the region according to partner organisations
Leafleting in Glasgow #485,Glasgow,55.89512,-4.24774,2007-07-13,,Leafleting,100-500,Anonymous tip,59,3611,81.3,0.006,5,No,
Harassment in Coventry #486,Coventry,52.50210,-1.55153,2018-01-01,Critical,Harassment,100-500,Local branch,4,18864,25.7,0.996,5,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Vandalism in Bradford #487,Bradford,53.79001,-1.76014,2001-04-24,Low,Vandalism,50-100,Partner organisation,173,657,59.4,0.496,2,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Assault in Swansea #488,Swansea,51.73165,-3.87971,,,Assault,50-100,Partner organisation,177,19461,56.4,0.777,3,,Second occurrence at this location this year; residents have asked for a coordinated response
Vandalism in London #489,London,51.50588,-0.07473,2025-02-08,High,Vandalism,100-500,Anonymous tip,47,761,17.2,0.945,1,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Vandalism in Sheffield #490,Sheffield,53.38649,-1.54639,2005-08-03,Moderate,Vandalism,1-10,Anonymous tip,7,17061,19.5,0.978,2,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Demonstration in Plymouth #491,Plymouth,50.38966,-4.08148,2023-03-15,,Demonstration,1-10,Social media,143,4627,78.4,0.158,4,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Online abuse in Swansea #492,Swansea,51.63731,-3.86875,2018-04-07,Low,Online abuse,1-10,Social media,144,13844,28.4,0.966,4,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Harassment in Glasgow #493,Glasgow,55.86774,-4.17910,2025-04-18,Moderate,Harassment,10-50,Partner organisation,59,19949,2.1,0.064,4,,Details unverified — cross-check with the regional organiser before publishing anywhere
Online abuse in Nottingham #494,Nottingham,52.94743,-1.12426,2022-05-01,Critical,Online abuse,10-50,Partner organisation,74,10230,92.3,0.007,5,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Assault in Plymouth #495,Plymouth,50.32933,-4.07342,2023-06-16,High,Assault,1-10,Social media,36,5581,41.5,0.694,2,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Banner drop in Bristol #496,Bristol,51.43816,-2.55161,2000-10-22,High,Banner drop,100-500,Anonymous tip,73,3549,32.3,0.781,5,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Vandalism in Leicester #497,Leicester,52.57844,-1.14069,2018-06-21,Low,Vandalism,1-10,Social media,97,4607,62.9,0.580,2,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Leafleting in Stoke-on-Trent #498,Stoke-on-Trent,52.99403,-2.11929,2024-09-02,High,Leafleting,1-10,Partner organisation,7,14224,96.5,0.965,2,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Assault in York #499,York,54.01891,-1.13542,2008-10-18,,Assault,500-1000,Local branch,154,413,46.5,0.213,5,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Vandalism in Newcastle #500,Newcastle,54.94574,-1.58991,2022-08-03,Moderate,Vandalism,50-100,Social media,28,785,34.2,0.749,1,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Demonstration in Swansea #501,Swansea,51.64148,-3.96421,2017-10-12,Low,Demonstration,10-50,Partner organisation,26,15020,53.1,0.538,1,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Online abuse in London #502,London,51.39996,-0.11525,2020-10-07,Critical,Online abuse,500-1000,Anonymous tip,84,12511,67.6,0.889,1,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Demonstration in Leeds #503,Leeds,53.93107,-1.65799,2026-06-10,Critical,Demonstration,1-10,Local branch,139,3728,36.2,0.431,2,No,Linked to a wider pattern of activity across the region according to partner organisations
Demonstration in Leicester #504,Leicester,52.57537,-1.16546,2013-05-20,Critical,Demonstration,100-500,Social media,156,4051,38.0,0.016,2,No,
Stickering in Manchester #505,Manchester,53.57010,-2.20037,2019-08-09,,Stickering,500-1000,Anonymous tip,189,4610,7.8,0.072,1,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Stickering in Stoke-on-Trent #506,Stoke-on-Trent,53.04509,-2.25671,2001-05-18,,Stickering,10-50,Social media,199,14766,97.8,0.168,1,No,Second occurrence at this location this year; residents have asked for a coordinated response
Harassment in Nottingham #507,Nottingham,52.94092,-1.14683,2010-11-13,Low,Harassment,10-50,Partner organisation,140,5573,50.9,0.032,4,No,
Stickering in Oxford #508,Oxford,51.71479,-1.25638,2001-06-06,Critical,Stickering,10-50,Social media,131,6171,66.1,0.342,5,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Banner drop in Swansea #509,Swansea,51.63208,-3.89907,2002-11-20,Low,Banner drop,10-50,Social media,173,12541,77.0,0.103,1,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Banner drop in Portsmouth #510,Portsmouth,50.80188,-1.01157,2017-07-25,Critical,Banner drop,10-50,Social media,133,17445,15.0,0.541,2,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Online abuse in Portsmouth #511,Portsmouth,50.76993,-1.00294,2006-06-15,,Online abuse,N/A,Press report,37,455,32.7,0.406,1,No,
Banner drop in Brighton #512,Brighton,50.74542,-0.13655,2012-01-11,,Banner drop,1-10,Anonymous tip,23,18864,78.1,0.386,2,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Demonstration in Southampton #513,Southampton,50.86796,-1.32435,2025-10-07,Moderate,Demonstration,100-500,Anonymous tip,85,10154,99.6,0.157,3,,Second occurrence at this location this year; residents have asked for a coordinated response
Leafleting in Cardiff #514,Cardiff,51.45806,-3.26078,2010-09-11,,Leafleting,N/A,Social media,168,10270,56.8,0.854,5,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Vandalism in Southampton #515,Southampton,50.93982,-1.44716,2021-04-04,Moderate,Vandalism,1-10,Social media,174,12455,71.1,0.529,4,No,
Stickering in Cambridge #516,Cambridge,52.21457,0.12548,2017-03-11,Moderate,Stickering,500-1000,Local branch,62,14836,36.6,0.382,2,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Demonstration in Leicester #517,Leicester,52.65612,-1.17243,2006-03-11,Low,Demonstration,500-1000,Partner organisation,3,3746,52.1,0.389,1,,Linked to a wider pattern of activity across the region according to partner organisations
Harassment in Nottingham #518,Nottingham,52.99444,-1.17205,,Moderate,Harassment,50-100,Social media,153,7900,57.4,0.131,5,No,
Demonstration in Leeds #519,Leeds,53.77319,-1.52702,2005-11-21,High,Demonstration,100-500,Anonymous tip,114,9131,81.0,0.517,2,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Harassment in Leeds #520,Leeds,53.80644,-1.57522,2002-05-13,Low,Harassment,100-500,Local branch,124,768,46.9,0.836,1,No,Linked to a wider pattern of activity across the region according to partner organisations
Leafleting in Birmingham #521,Birmingham,52.48554,-1.90935,2000-04-02,Moderate,Leafleting,500-1000,Social media,189,12783,23.6,0.796,4,No,Linked to a wider pattern of activity across the region according to partner organisations
Stickering in Nottingham #522,Nottingham,53.07204,-1.09529,2021-12-12,Moderate,Stickering,N/A,Partner organisation,110,6118,70.7,0.116,3,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Harassment in Bradford #523,Bradford,53.85392,-1.76428,2007-10-04,,Harassment,100-500,Anonymous tip,45,5632,15.7,0.675,3,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Online abuse in Exeter #524,Exeter,50.67485,-3.45367,2002-01-12,Critical,Online abuse,1-10,Partner organisation,28,8552,56.3,0.459,2,Yes,
Assault in London #525,London,51.43913,-0.08040,2007-07-27,,Assault,500-1000,Partner organisation,27,13743,99.4,0.377,5,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Vandalism in Leicester #526,Leicester,52.64450,-1.15313,2015-03-20,Critical,Vandalism,1-10,Social media,114,11093,20.3,0.211,4,,
Banner drop in Norwich #527,Norwich,52.55159,1.32176,2003-10-26,Low,Banner drop,10-50,Partner organisation,113,7074,72.9,0.702,5,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Stickering in Bradford #528,Bradford,53.87468,-1.68666,2007-11-12,,Stickering,100-500,Press report,188,16263,69.0,0.130,1,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Leafleting in Brighton #529,Brighton,50.80551,-0.23596,2008-08-19,Moderate,Leafleting,1-10,Social media,148,3684,87.3,0.802,4,No,Second occurrence at this location this year; residents have asked for a coordinated response
Online abuse in Leeds #530,Leeds,53.78800,-1.48342,2021-02-06,High,Online abuse,500-1000,Partner organisation,19,10219,76.3,0.465,5,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Demonstration in Nottingham #531,Nottingham,52.89842,-1.14025,2023-01-28,,Demonstration,10-50,Social media,45,1012,19.4,0.848,4,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Vandalism in Stoke-on-Trent #532,Stoke-on-Trent,53.02655,-2.12057,2001-03-21,High,Vandalism,50-100,Anonymous tip,13,2022,52.9,0.549,1,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Assault in Southampton #533,Southampton,50.91025,-1.33028,2009-02-26,Low,Assault,100-500,Anonymous tip,5,18904,63.5,0.239,4,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Stickering in Aberdeen #534,Aberdeen,57.18785,-2.12888,2013-03-13,Moderate,Stickering,1-10,Partner organisation,17,3138,57.0,0.214,1,No,Linked to a wider pattern of activity across the region according to partner organisations
Leafleting in Oxford #535,Oxford,51.79360,-1.26525,2006-11-19,Low,Leafleting,100-500,Social media,181,18659,33.5,0.269,3,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Demonstration in Brighton #536,Brighton,50.82879,-0.13754,2002-12-19,High,Demonstration,10-50,Press report,78,10500,75.3,0.707,1,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Banner drop in Brighton #537,Brighton,50.79905,-0.14375,2002-01-17,High,Banner drop,10-50,Press report,26,19442,59.4,0.728,2,Yes,
Demonstration in Hull #538,Hull,53.84025,-0.39742,2017-11-21,,Demonstration,1-10,Local branch,9,5643,43.2,0.081,5,No,
Demonstration in Edinburgh #539,Edinburgh,55.92990,-3.19616,2013-02-03,Critical,Demonstration,500-1000,Social media,66,6055,73.6,0.303,5,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Assault in Dundee #540,Dundee,56.47854,-2.91189,2005-02-25,Critical,Assault,500-1000,Partner organisation,63,6588,16.5,0.910,2,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Stickering in Edinburgh #541,Edinburgh,55.94990,-3.17456,2022-12-12,Moderate,Stickering,10-50,Social media,17,15858,81.1,0.435,4,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Assault in Norwich #542,Norwich,52.72583,1.37378,2007-08-08,Critical,Assault,50-100,Local branch,174,2223,69.7,0.365,5,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Leafleting in Stoke-on-Trent #543,Stoke-on-Trent,52.90124,-2.18736,2023-01-16,Low,Leafleting,500-1000,Partner organisation,116,2994,47.2,0.650,4,Yes,
Harassment in Portsmouth #544,Portsmouth,50.73566,-1.06391,2022-04-28,,Harassment,100-500,Press report,126,6623,2.8,0.842,4,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Vandalism in Plymouth #545,Plymouth,50.39985,-4.14666,2024-11-16,Critical,Vandalism,1-10,Social media,184,19600,36.8,0.197,2,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Banner drop in Bradford #546,Bradford,53.74731,-1.74095,2005-12-07,Critical,Banner drop,100-500,Anonymous tip,171,317,51.3,0.676,4,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Leafleting in Leeds #547,Leeds,53.83995,-1.52913,2003-12-02,,Leafleting,10-50,Social media,97,5399,97.7,0.134,2,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Banner drop in Brighton #548,Brighton,50.86456,-0.14097,2020-07-10,High,Banner drop,10-50,Partner organisation,31,16797,14.5,0.683,4,No,Second occurrence at this location this year; residents have asked for a coordinated response
Online abuse in Nottingham #549,Nottingham,52.95718,-1.21567,2013-08-10,Moderate,Online abuse,50-100,Partner organisation,196,1821,52.8,0.703,4,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Assault in Sheffield #550,Sheffield,53.35638,-1.54182,2013-03-20,Low,Assault,50-100,Social media,114,1795,50.9,0.949,4,No,Linked to a wider pattern of activity across the region according to partner organisations
Demonstration in Birmingham #551,Birmingham,52.55552,-1.85818,2004-10-26,Low,Demonstration,1-10,Social media,120,15325,85.4,0.800,2,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Assault in Swansea #552,Swansea,51.70599,-4.01035,,Moderate,Assault,500-1000,Press report,118,2816,25.7,0.359,1,Yes,
Harassment in Cambridge #553,Cambridge,52.26682,0.06724,2008-05-02,Low,Harassment,50-100,Press report,47,10070,90.8,0.664,3,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Banner drop in Aberdeen #554,Aberdeen,57.14758,-2.11129,2003-08-19,High,Banner drop,100-500,Partner organisation,35,13461,99.1,0.489,4,,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Assault in London #555,London,51.47496,-0.21513,2020-05-04,Low,Assault,100-500,Anonymous tip,9,12817,90.8,0.289,1,No,
Vandalism in Liverpool #556,Liverpool,53.38958,-2.93897,2012-09-12,Moderate,Vandalism,1-10,Press report,53,4704,31.5,0.187,5,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Vandalism in Bradford #557,Bradford,53.75023,-1.72875,2014-05-04,,Vandalism,1-10,Anonymous tip,134,9171,13.9,0.647,3,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Leafleting in Liverpool #558,Liverpool,53.43540,-2.91884,2013-03-07,High,Leafleting,50-100,Local branch,117,4801,37.7,0.841,2,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Banner drop in Sheffield #559,Sheffield,53.33049,-1.44927,2021-03-09,Moderate,Banner drop,500-1000,Partner organisation,195,602,98.3,0.841,3,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Online abuse in York #560,York,53.94874,-1.12849,2000-07-19,Low,Online abuse,N/A,Press report,87,10212,88.5,0.083,2,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Leafleting in Birmingham #561,Birmingham,52.50130,-1.99128,2006-04-27,Critical,Leafleting,100-500,Partner organisation,13,6313,24.4,0.519,5,,
Stickering in Norwich #562,Norwich,52.51363,1.37983,2002-02-28,Critical,Stickering,10-50,Partner organisation,155,4784,62.1,0.726,2,Yes,
Harassment in Nottingham #563,Nottingham,52.85646,-1.14560,2005-02-20,Critical,Harassment,100-500,Partner organisation,66,12961,78.7,0.255,5,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Online abuse in Oxford #564,Oxford,51.75537,-1.26706,2013-01-14,Moderate,Online abuse,50-100,Press report,8,5775,24.3,0.403,5,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Demonstration in Cambridge #565,Cambridge,52.20714,0.08299,2022-12-14,Critical,Demonstration,10-50,Local branch,96,2344,93.6,0.382,4,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Harassment in Bristol #566,Bristol,51.47599,-2.59885,2015-12-07,Critical,Harassment,500-1000,Social media,30,5098,59.6,0.438,2,No,
Leafleting in Cardiff #567,Cardiff,51.50120,-3.20418,2016-04-01,Moderate,Leafleting,1-10,Partner organisation,46,8213,48.9,0.185,4,No,Second occurrence at this location this year; residents have asked for a coordinated response
Assault in Southampton #568,Southampton,50.89856,-1.42779,2009-01-27,Low,Assault,1-10,Social media,155,16806,30.4,0.162,1,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Leafleting in Bradford #569,Bradford,53.72189,-1.71035,2008-03-23,High,Leafleting,500-1000,Partner organisation,147,17516,14.0,0.926,1,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Vandalism in Bristol #570,Bristol,51.47295,-2.64833,2018-02-16,,Vandalism,500-1000,Partner organisation,178,5244,19.8,0.875,3,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Banner drop in Manchester #571,Manchester,53.49565,-2.29255,2013-04-02,Moderate,Banner drop,100-500,Partner organisation,58,17610,40.2,0.087,2,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Vandalism in Glasgow #572,Glasgow,55.83119,-4.30497,2011-03-18,Critical,Vandalism,500-1000,Partner organisation,0,14472,80.2,0.168,3,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Vandalism in Brighton #573,Brighton,50.76989,-0.16692,2004-01-05,Low,Vandalism,500-1000,Social media,157,10624,19.7,0.645,1,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Online abuse in Hull #574,Hull,53.85321,-0.36254,2019-04-22,Moderate,Online abuse,N/A,Anonymous tip,81,15200,8.6,0.675,4,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Leafleting in London #575,London,51.56408,-0.15590,2002-07-15,Low,Leafleting,1-10,Anonymous tip,72,4479,0.7,0.576,5,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Vandalism in Aberdeen #576,Aberdeen,57.19672,-2.11411,2001-09-05,Critical,Vandalism,500-1000,Press report,6,18014,2.5,0.229,2,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Vandalism in Swansea #577,Swansea,51.59203,-3.99785,2013-11-03,,Vandalism,50-100,Social media,191,16165,95.9,0.574,4,No,
Assault in Edinburgh #578,Edinburgh,55.93091,-3.22840,2008-04-16,High,Assault,50-100,Local branch,173,4268,6.2,0.101,3,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Banner drop in Birmingham #579,Birmingham,52.53493,-1.82501,2023-04-11,Moderate,Banner drop,10-50,Social media,173,13256,65.8,0.486,4,No,
Stickering in Sheffield #580,Sheffield,53.35464,-1.49028,2017-11-23,High,Stickering,N/A,Social media,39,3574,18.5,0.237,3,,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Demonstration in London #581,London,51.53979,-0.05611,2011-10-28,,Demonstration,500-1000,Partner organisation,166,13366,3.5,0.974,1,Yes,
Online abuse in Leicester #582,Leicester,52.68194,-1.13300,2001-01-24,Critical,Online abuse,10-50,Social media,178,18531,22.6,0.530,5,Yes,
Leafleting in Oxford #583,Oxford,51.79722,-1.20636,2011-09-04,Moderate,Leafleting,500-1000,Social media,164,10452,1.6,0.231,5,No,Linked to a wider pattern of activity across the region according to partner organisations
Stickering in Southampton #584,Southampton,50.83073,-1.39413,2006-12-13,High,Stickering,50-100,Press report,43,14066,87.8,0.689,5,,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Demonstration in Belfast #585,Belfast,54.54636,-5.87713,2002-04-13,Critical,Demonstration,50-100,Local branch,85,10384,85.9,0.748,4,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Demonstration in Edinburgh #586,Edinburgh,55.96194,-3.11678,2006-05-02,Moderate,Demonstration,10-50,Local branch,44,4528,77.6,0.545,1,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Banner drop in Newcastle #587,Newcastle,55.01648,-1.61071,2013-02-04,Moderate,Banner drop,50-100,Partner organisation,181,3024,4.6,0.715,2,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Demonstration in Nottingham #588,Nottingham,52.92462,-1.06511,2005-01-21,Low,Demonstration,1-10,Local branch,67,2692,90.6,0.675,1,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Vandalism in Oxford #589,Oxford,51.81514,-1.18081,2025-08-22,Low,Vandalism,10-50,Partner organisation,55,18794,51.6,0.930,5,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Leafleting in Hull #590,Hull,53.78760,-0.29510,2019-01-11,High,Leafleting,1-10,Press report,95,8261,76.4,0.598,3,Yes,
Demonstration in Aberdeen #591,Aberdeen,57.20061,-2.14873,2005-07-12,Moderate,Demonstration,100-500,Anonymous tip,160,12123,64.4,0.277,5,No,Linked to a wider pattern of activity across the region according to partner organisations
Harassment in Liverpool #592,Liverpool,53.39621,-2.94489,2012-06-22,Moderate,Harassment,100-500,Partner organisation,42,19502,3.1,0.481,4,Yes,
Online abuse in Norwich #593,Norwich,52.65785,1.23521,2013-05-05,Critical,Online abuse,10-50,Partner organisation,154,13684,38.8,0.828,4,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Online abuse in Bristol #594,Bristol,51.45666,-2.51494,2006-08-20,Moderate,Online abuse,500-1000,Partner organisation,158,6953,32.6,0.931,1,Yes,
Online abuse in Aberdeen #595,Aberdeen,57.17420,-2.02983,2001-11-16,,Online abuse,500-1000,Social media,78,2936,9.6,0.684,4,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Vandalism in Leeds #596,Leeds,53.79951,-1.55502,2015-01-07,High,Vandalism,1-10,Press report,82,8580,5.9,0.677,2,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Banner drop in Nottingham #597,Nottingham,52.95367,-1.11963,2007-03-25,High,Banner drop,1-10,Press report,167,6980,72.6,0.315,3,No,Details unverified — cross-check with the regional organiser before publishing anywhere
